Mod:Item:MetaData, Localized Name
BiblioCraft:BiblioSimplePainting:0, Дубовая картинная рамка
BiblioCraft:BiblioSimplePainting:1, Еловая картинная рамка
BiblioCraft:BiblioSimplePainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioSimplePainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioSimplePainting:4, Картинная рамка из акации
BiblioCraft:BiblioSimplePainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioSimplePainting:6, Каркасная картинная рамка
BiblioCraft:BiblioMiddlePainting:0, Дубовая картинная рамка
BiblioCraft:BiblioMiddlePainting:1, Еловая картинная рамка
BiblioCraft:BiblioMiddlePainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioMiddlePainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioMiddlePainting:4, Картинная рамка из акации
BiblioCraft:BiblioMiddlePainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioMiddlePainting:6, Каркасная картинная рамка
BiblioCraft:BiblioFancyPainting:0, Дубовая картинная рамка
BiblioCraft:BiblioFancyPainting:1, Еловая картинная рамка
BiblioCraft:BiblioFancyPainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioFancyPainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioFancyPainting:4, Картинная рамка из акации
BiblioCraft:BiblioFancyPainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioFancyPainting:6, Каркасная картинная рамка
BiblioCraft:BiblioBorderlessPainting:0, Дубовая картинная рамка
BiblioCraft:BiblioBorderlessPainting:1, Еловая картинная рамка
BiblioCraft:BiblioBorderlessPainting:2, Берёзовая картинная рамка
BiblioCraft:BiblioBorderlessPainting:3, Картинная рамка из тропического дерева
BiblioCraft:BiblioBorderlessPainting:4, Картинная рамка из акации
BiblioCraft:BiblioBorderlessPainting:5, Картинная рамка из тёмного дуба
BiblioCraft:BiblioBorderlessPainting:6, Каркасная картинная рамка
BiblioCraft:BiblioPaintPress, Картинный станок
BiblioCraft:BiblioSwordPedestal:0, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:1, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:2, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:3, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:4, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:5, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:6, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:7, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:8, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:9, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:10, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:11, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:12, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:13, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:14, Пьедестал для меча
BiblioCraft:BiblioSwordPedestal:15, Пьедестал для меча
BiblioCraft:BiblioFancySign:0, Дубовая красивая табличка
BiblioCraft:BiblioFancySign:1, Еловая красивая табличка
BiblioCraft:BiblioFancySign:2, Берёзовая красивая табличка
BiblioCraft:BiblioFancySign:3, Красивая табличка из тропического дерева
BiblioCraft:BiblioFancySign:4, Красивая табличка из акации
BiblioCraft:BiblioFancySign:5, Красивая табличка из тёмного дуба
BiblioCraft:BiblioFancySign:6, Каркасная красивая табличка
BiblioCraft:BiblioWorkbench:0, Дубовый красивый верстак
BiblioCraft:BiblioWorkbench:1, Еловый красивый верстак
BiblioCraft:BiblioWorkbench:2, Берёзовый красивый верстак
BiblioCraft:BiblioWorkbench:3, Красивый верстак из тропического дерева
BiblioCraft:BiblioWorkbench:4, Красивый верстак из акации
BiblioCraft:BiblioWorkbench:5, Красивый верстак из тёмного дуба
BiblioCraft:BiblioWorkbench:6, Каркасный красивый верстак
BiblioCraft:BiblioBell, Настольный звонок
BiblioCraft:Bibliotheca:0, Дубовый книжный шкаф
BiblioCraft:Bibliotheca:1, Еловый книжный шкаф
BiblioCraft:Bibliotheca:2, Берёзовый книжный шкаф
BiblioCraft:Bibliotheca:3, Книжный шкаф из тропического дерева
BiblioCraft:Bibliotheca:4, Книжный шкаф из акации
BiblioCraft:Bibliotheca:5, Книжный шкаф из тёмного дуба
BiblioCraft:Bibliotheca:6, Каркасный книжный шкаф
BiblioCraft:BookcaseFilled:0, Дубовый книжный шкаф
BiblioCraft:BookcaseFilled:1, Еловый книжный шкаф
BiblioCraft:BookcaseFilled:2, Берёзовый книжный шкаф
BiblioCraft:BookcaseFilled:3, Книжный шкаф из тропического дерева
BiblioCraft:BookcaseFilled:4, Книжный шкаф из акации
BiblioCraft:BookcaseFilled:5, Книжный шкаф из тёмного дуба
BiblioCraft:BookcaseFilled:6, Каркасный книжный шкаф
BiblioCraft:BiblioPotionShelf:0, Дубовая полка для зелий
BiblioCraft:BiblioPotionShelf:1, Еловая полка для зелий
BiblioCraft:BiblioPotionShelf:2, Берёзовая полка для зелий
BiblioCraft:BiblioPotionShelf:3, Полка для зелий из тропического дерева
BiblioCraft:BiblioPotionShelf:4, Полка для зелий из акации
BiblioCraft:BiblioPotionShelf:5, Полка для зелий из тёмного дуба
BiblioCraft:BiblioPotionShelf:6, Каркасная полка для зелий
BiblioCraft:BiblioShelf:0, Дубовая полка
BiblioCraft:BiblioShelf:1, Еловая полка
BiblioCraft:BiblioShelf:2, Берёзовая полка
BiblioCraft:BiblioShelf:3, Полка из тропического дерева
BiblioCraft:BiblioShelf:4, Полка из акации
BiblioCraft:BiblioShelf:5, Полка из тёмного дуба
BiblioCraft:BiblioShelf:6, Каркасная полка
BiblioCraft:BiblioRack:0, Дубовый стеллаж для инструментов
BiblioCraft:BiblioRack:1, Еловый стеллаж для инструментов
BiblioCraft:BiblioRack:2, Берёзовый стеллаж для инструментов
BiblioCraft:BiblioRack:3, Стеллаж для инструментов из тропического дерева
BiblioCraft:BiblioRack:4, Стеллаж для инструментов из акации
BiblioCraft:BiblioRack:5, Стеллаж для инструментов из тёмного дуба
BiblioCraft:BiblioRack:6, Каркасный стеллаж для инструментов
BiblioCraft:BiblioCase:0, Дубовая витрина
BiblioCraft:BiblioCase:1, Еловая витрина
BiblioCraft:BiblioCase:2, Берёзовая витрина
BiblioCraft:BiblioCase:3, Витрина из тропического дерева
BiblioCraft:BiblioCase:4, Витрина из акации
BiblioCraft:BiblioCase:5, Витрина из тёмного дуба
BiblioCraft:BiblioCase:6, Каркасная витрина
BiblioCraft:BiblioLabel:0, Дубовая бирка
BiblioCraft:BiblioLabel:1, Еловая бирка
BiblioCraft:BiblioLabel:2, Берёзовая бирка
BiblioCraft:BiblioLabel:3, Бирка из тропического дерева
BiblioCraft:BiblioLabel:4, Бирка из акации
BiblioCraft:BiblioLabel:5, Бирка из тёмного дуба
BiblioCraft:BiblioLabel:6, Каркасная бирка
BiblioCraft:BiblioDesk:0, Дубовый письменный стол
BiblioCraft:BiblioDesk:1, Еловый письменный стол
BiblioCraft:BiblioDesk:2, Берёзовый письменный стол
BiblioCraft:BiblioDesk:3, Письменный стол из тропического дерева
BiblioCraft:BiblioDesk:4, Письменный стол из акации
BiblioCraft:BiblioDesk:5, Письменный стол из тёмного дуба
BiblioCraft:BiblioDesk:6, Каркасный письменный стол
BiblioCraft:BiblioTable:0, Дубовый стол
BiblioCraft:BiblioTable:1, Еловый стол
BiblioCraft:BiblioTable:2, Берёзовый стол
BiblioCraft:BiblioTable:3, Стол из тропического дерева
BiblioCraft:BiblioTable:4, Стол из акации
BiblioCraft:BiblioTable:5, Стол из тёмного дуба
BiblioCraft:BiblioTable:6, Каркасный стол
BiblioCraft:Armor Stand, Стойка для брони
BiblioCraft:Typesetting Machine, Типографский стол
BiblioCraft:Printing Press, Печатный станок
BiblioCraft:BiblioLantern:0, Золотой фонарь
BiblioCraft:BiblioLantern:1, Золотой фонарь
BiblioCraft:BiblioLantern:2, Золотой фонарь
BiblioCraft:BiblioLantern:3, Золотой фонарь
BiblioCraft:BiblioLantern:4, Золотой фонарь
BiblioCraft:BiblioLantern:5, Золотой фонарь
BiblioCraft:BiblioLantern:6, Золотой фонарь
BiblioCraft:BiblioLantern:7, Золотой фонарь
BiblioCraft:BiblioLantern:8, Золотой фонарь
BiblioCraft:BiblioLantern:9, Золотой фонарь
BiblioCraft:BiblioLantern:10, Золотой фонарь
BiblioCraft:BiblioLantern:11, Золотой фонарь
BiblioCraft:BiblioLantern:12, Золотой фонарь
BiblioCraft:BiblioLantern:13, Золотой фонарь
BiblioCraft:BiblioLantern:14, Золотой фонарь
BiblioCraft:BiblioLantern:15, Золотой фонарь
BiblioCraft:BiblioIronLantern:0, Золотой фонарь
BiblioCraft:BiblioIronLantern:1, Золотой фонарь
BiblioCraft:BiblioIronLantern:2, Золотой фонарь
BiblioCraft:BiblioIronLantern:3, Золотой фонарь
BiblioCraft:BiblioIronLantern:4, Золотой фонарь
BiblioCraft:BiblioIronLantern:5, Золотой фонарь
BiblioCraft:BiblioIronLantern:6, Золотой фонарь
BiblioCraft:BiblioIronLantern:7, Золотой фонарь
BiblioCraft:BiblioIronLantern:8, Золотой фонарь
BiblioCraft:BiblioIronLantern:9, Золотой фонарь
BiblioCraft:BiblioIronLantern:10, Золотой фонарь
BiblioCraft:BiblioIronLantern:11, Золотой фонарь
BiblioCraft:BiblioIronLantern:12, Золотой фонарь
BiblioCraft:BiblioIronLantern:13, Золотой фонарь
BiblioCraft:BiblioIronLantern:14, Золотой фонарь
BiblioCraft:BiblioIronLantern:15, Золотой фонарь
BiblioCraft:BiblioLamp:0, Светильник
BiblioCraft:BiblioLamp:1, Светильник
BiblioCraft:BiblioLamp:2, Светильник
BiblioCraft:BiblioLamp:3, Светильник
BiblioCraft:BiblioLamp:4, Светильник
BiblioCraft:BiblioLamp:5, Светильник
BiblioCraft:BiblioLamp:6, Светильник
BiblioCraft:BiblioLamp:7, Светильник
BiblioCraft:BiblioLamp:8, Светильник
BiblioCraft:BiblioLamp:9, Светильник
BiblioCraft:BiblioLamp:10, Светильник
BiblioCraft:BiblioLamp:11, Светильник
BiblioCraft:BiblioLamp:12, Светильник
BiblioCraft:BiblioLamp:13, Светильник
BiblioCraft:BiblioLamp:14, Светильник
BiblioCraft:BiblioLamp:15, Светильник
BiblioCraft:BiblioIronLamp:0, Светильник
BiblioCraft:BiblioIronLamp:1, Светильник
BiblioCraft:BiblioIronLamp:2, Светильник
BiblioCraft:BiblioIronLamp:3, Светильник
BiblioCraft:BiblioIronLamp:4, Светильник
BiblioCraft:BiblioIronLamp:5, Светильник
BiblioCraft:BiblioIronLamp:6, Светильник
BiblioCraft:BiblioIronLamp:7, Светильник
BiblioCraft:BiblioIronLamp:8, Светильник
BiblioCraft:BiblioIronLamp:9, Светильник
BiblioCraft:BiblioIronLamp:10, Светильник
BiblioCraft:BiblioIronLamp:11, Светильник
BiblioCraft:BiblioIronLamp:12, Светильник
BiblioCraft:BiblioIronLamp:13, Светильник
BiblioCraft:BiblioIronLamp:14, Светильник
BiblioCraft:BiblioIronLamp:15, Светильник
BiblioCraft:BiblioStuffs:0, Банка для печенья
BiblioCraft:BiblioStuffs:2, Обеденная тарелка
BiblioCraft:BiblioStuffs:3, Стойка для пластинок
BiblioCraft:BiblioMapFrames:0, Дубовая рамка для карты
BiblioCraft:BiblioMapFrames:1, Еловая рамка для карты
BiblioCraft:BiblioMapFrames:2, Берёзовая рамка для карты
BiblioCraft:BiblioMapFrames:3, Рамка для карты из тропического дерева
BiblioCraft:BiblioMapFrames:4, Рамка для карты из акации
BiblioCraft:BiblioMapFrames:5, Рамка для карты из тёмного дуба
BiblioCraft:BiblioMapFrames:6, Каркасная рамка для карты
BiblioCraft:BiblioSeats:0, Дубовый стул
BiblioCraft:BiblioSeats:1, Еловый стул
BiblioCraft:BiblioSeats:2, Берёзовый стул
BiblioCraft:BiblioSeats:3, Стул из тропического дерева
BiblioCraft:BiblioSeats:4, Стул из акации
BiblioCraft:BiblioSeats:5, Стул из тёмного дуба
BiblioCraft:BiblioSeats:6, Каркасный стул
BigReactors:YelloriteOre:0, Йелоритовая руда
BigReactors:BRMetalBlock:0, Йеллориумовый блок
BigReactors:BRMetalBlock:1, Цианитовый блок
BigReactors:BRMetalBlock:2, Графитовый блок
BigReactors:BRMetalBlock:3, Блутониевый блок
BigReactors:BRMetalBlock:4, Лудикритовый блок
BigReactors:YelloriumFuelRod, Йеллориумовый топливный стержень
BigReactors:BRReactorPart:0, Реакторный корпус
BigReactors:BRReactorPart:1, Реакторный контроллер
BigReactors:BRReactorPart:2, Реакторный контролирующий стержень
BigReactors:BRReactorPart:3, Реакторная розетка
BigReactors:BRReactorPart:4, Реакторный порт доступа
BigReactors:BRReactorPart:5, Реакторный порт охлаждения
BigReactors:BRReactorPart:6, Реакторный RedNet порт
BigReactors:BRReactorPart:7, Компьютерный порт реактора
BigReactors:BRMultiblockGlass:0, Реакторное стекло
BigReactors:BRMultiblockGlass:1, Турбинное стекло
BigReactors:BRReactorRedstonePort, Красный порт реактора
BigReactors:BRTurbinePart:0, Турбинный корпус
BigReactors:BRTurbinePart:1, Турбинный контроллер
BigReactors:BRTurbinePart:2, Турбинный порт питания
BigReactors:BRTurbinePart:3, Турбинный порт жидкостей
BigReactors:BRTurbinePart:4, Подшипник ротора турбины
BigReactors:BRTurbinePart:5, Компьютерный порт турбины
BigReactors:BRTurbineRotorPart:0, Вал ротора турбины
BigReactors:BRTurbineRotorPart:1, Лезвие ротора турбины
BigReactors:BRDevice:0, Переработчик цианита
BigReactors:tile.fluid.yellorium.still, Жидкий йеллориум
BigReactors:tile.fluid.cyanite.still, Жидкий цианит
BigReactors:BRMultiblockCreativePart:0, Реакторный творческий порт охлаждения
BigReactors:BRMultiblockCreativePart:1, Турбинный творческий генератор пара
BinnieCore:storage:0, Сундук
BinnieCore:storage:1, Медный сундук
BinnieCore:storage:2, Бронзовый сундук
BinnieCore:storage:3, Железный сундук
BinnieCore:storage:4, Золотой сундук
BinnieCore:storage:5, Алмазный сундук
Botany:flower, Цветок
Botany:plant:0, Маленький сорняк
Botany:plant:1, Сорняк
Botany:plant:2, Высокий сорняк
Botany:plant:3, Засохший цветок
Botany:plant:4, Увядающий цветок
Botany:soil:0, Почва
Botany:soil:1, Почва
Botany:soil:2, Почва
Botany:soil:3, Почва
Botany:soil:4, Почва
Botany:soil:5, Почва
Botany:soil:6, Почва
Botany:soil:7, Почва
Botany:soil:8, Почва
Botany:loam:0, Суглинок
Botany:loam:1, Суглинок
Botany:loam:2, Суглинок
Botany:loam:3, Суглинок
Botany:loam:4, Суглинок
Botany:loam:5, Суглинок
Botany:loam:6, Суглинок
Botany:loam:7, Суглинок
Botany:loam:8, Суглинок
Botany:flowerbed:0, Цветник
Botany:flowerbed:1, Цветник
Botany:flowerbed:2, Цветник
Botany:flowerbed:3, Цветник
Botany:flowerbed:4, Цветник
Botany:flowerbed:5, Цветник
Botany:flowerbed:6, Цветник
Botany:flowerbed:7, Цветник
Botany:flowerbed:8, Цветник
Botany:soilNoWeed:0, Почва
Botany:soilNoWeed:1, Почва
Botany:soilNoWeed:2, Почва
Botany:soilNoWeed:3, Почва
Botany:soilNoWeed:4, Почва
Botany:soilNoWeed:5, Почва
Botany:soilNoWeed:6, Почва
Botany:soilNoWeed:7, Почва
Botany:soilNoWeed:8, Почва
Botany:loamNoWeed:0, Суглинок
Botany:loamNoWeed:1, Суглинок
Botany:loamNoWeed:2, Суглинок
Botany:loamNoWeed:3, Суглинок
Botany:loamNoWeed:4, Суглинок
Botany:loamNoWeed:5, Суглинок
Botany:loamNoWeed:6, Суглинок
Botany:loamNoWeed:7, Суглинок
Botany:loamNoWeed:8, Суглинок
Botany:flowerbedNoWeed:0, Цветник
Botany:flowerbedNoWeed:1, Цветник
Botany:flowerbedNoWeed:2, Цветник
Botany:flowerbedNoWeed:3, Цветник
Botany:flowerbedNoWeed:4, Цветник
Botany:flowerbedNoWeed:5, Цветник
Botany:flowerbedNoWeed:6, Цветник
Botany:flowerbedNoWeed:7, Цветник
Botany:flowerbedNoWeed:8, Цветник
Botany:ceramic, tile.ceramic.name
Botany:stained, tile.stained.name
Botany:ceramicPattern, tile.ceramicPattern.name
Botany:ceramicBrick, tile.ceramicBrick.name
ExtraTrees:planks, tile.planks.name
ExtraTrees:fence, Забор
ExtraTrees:multifence, tile.multifence.name
ExtraTrees:log, Дерево
ExtraTrees:gate, Безымянный блок, сообщите автору мода.
ExtraTrees:slab:0, Плита из пихты
ExtraTrees:slab:1, Плита из кедра
ExtraTrees:slab:2, Плита из тсуги
ExtraTrees:slab:3, Плита из кипариса
ExtraTrees:slab:4, Плита из инжира
ExtraTrees:slab:5, Плита из бука
ExtraTrees:slab:6, Плита из ольхи
ExtraTrees:slab:7, Плита из лещины
ExtraTrees:slab:8, Плита из граба
ExtraTrees:slab:9, Плита из самшита вечнозелёного
ExtraTrees:slab:10, Плита из ореха серого
ExtraTrees:slab:11, Плита из гикори
ExtraTrees:slab:12, Плита из рябины круглолистной
ExtraTrees:slab:13, Плита из вяза
ExtraTrees:slab:14, Плита из яблони
ExtraTrees:slab:15, Плита из тиса
ExtraTrees:slab:16, Плита из груши
ExtraTrees:slab:17, Плита из боярышника
ExtraTrees:slab:18, Плита из рябины
ExtraTrees:slab:19, Плита из бузины
ExtraTrees:slab:20, Плита из маклюры яблоконосной
ExtraTrees:slab:21, Плита из сизигиума
ExtraTrees:slab:22, Плита из цезальпинии ежовой
ExtraTrees:slab:23, Плита из кампешевого дерева
ExtraTrees:slab:24, Плита из ироко
ExtraTrees:slab:25, Плита из робинии ложноакациевой
ExtraTrees:slab:26, Плита из эвкалипта
ExtraTrees:slab:27, Плита из амаранта
ExtraTrees:slab:28, Плита из ясеня
ExtraTrees:slab:29, Плита из остролиста
ExtraTrees:slab:30, Плита из оливы
ExtraTrees:slab:31, Плита из ликвидамбара смолоносного
ExtraTrees:slab:32, Плита из розового дерева
ExtraTrees:slab:33, Плита из гинкго двулопастного
ExtraTrees:slab:34, Плита из умнини
ExtraTrees:door, tile.door.name
ExtraTrees:stairs, tile.stairs.name
ExtraTrees:carpentry, tile.carpentry.name
ExtraTrees:panel, tile.carpentry.name
ExtraTrees:stainedglass, Окрашенное стекло
ExtraTrees:machine:0, Лесопилка
ExtraTrees:machine:1, Столяр
ExtraTrees:machine:2, Панельщик
ExtraTrees:machine:3, Стекольщик
ExtraTrees:machine:4, Плиточник
Genetics:machine:0, Изолятор
Genetics:machine:1, Секвенсор
Genetics:machine:2, Полимеризатор
Genetics:machine:3, Инокулятор
Genetics:labMachine:0, Лабораторная тумба
Genetics:labMachine:1, Анализатор
Genetics:labMachine:2, Инкубатор
Genetics:labMachine:3, Экстрактор ДНК
Genetics:labMachine:4, Акклиматизатор
Genetics:advMachine:0, Сплайсер
ExtraBees:ectoplasm, Эктоплазма
ExtraBees:hive:0, Водный улей
ExtraBees:hive:1, Каменный улей
ExtraBees:hive:2, Адский улей
ExtraBees:hive:3, Мраморный улей
ExtraBees:alveary:0, Мутатор улья
ExtraBees:alveary:1, Хранитель рамок улья
ExtraBees:alveary:2, Навес улья
ExtraBees:alveary:3, Осветитель улья
ExtraBees:alveary:4, Электростимулятор улья
ExtraBees:alveary:5, Инкубатор личинок улья
ExtraBees:alveary:6, Электротрансформатор улья
BuildCraft|Core:eternalSpring:0, Water Spring
BuildCraft|Core:eternalSpring:1, Oil Spring
BuildCraft|Core:buildToolBlock, tile.buildToolBlock.name
BuildCraft|Core:engineBlock:0, Redstone Engine
BuildCraft|Core:engineBlock:1, Stirling Engine
BuildCraft|Core:engineBlock:2, Combustion Engine
BuildCraft|Core:engineBlock:3, Creative Engine
BuildCraft|Core:markerBlock, Land Mark
BuildCraft|Core:pathMarkerBlock, Path Mark
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, tile.pipeBlock.name
BuildCraft|Builders:machineBlock, Quarry
BuildCraft|Builders:fillerBlock, Filler
BuildCraft|Builders:frameBlock, Frame
BuildCraft|Builders:builderBlock, Builder
BuildCraft|Builders:architectBlock, Architect Table
BuildCraft|Builders:libraryBlock, Electronic Library
BuildCraft|Builders:constructionMarkerBlock, Construction Mark
BuildCraft|Robotics:zonePlan, Zone Planner
BuildCraft|Robotics:requester, Requester
BuildCraft|Energy:blockOil, Oil
BuildCraft|Energy:blockFuel, Fuel
BuildCraft|Energy:blockRedPlasma, tile.blockRedPlasma.name
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
BuildCraft|Factory:miningWellBlock, Mining Well
BuildCraft|Factory:plainPipeBlock, Mining Pipe
BuildCraft|Factory:autoWorkbenchBlock, Auto Workbench
BuildCraft|Factory:tankBlock, Tank
BuildCraft|Factory:pumpBlock, Pump
BuildCraft|Factory:floodGateBlock, Flood Gate
BuildCraft|Factory:refineryBlock, Refinery
BuildCraft|Factory:blockHopper, Chute
Thaumcraft:blockFluxGoo:0, Заражённая слизь
Thaumcraft:blockFluxGas:0, Заражённый газ
Thaumcraft:blockFluidPure, Очищающая жидкость
Thaumcraft:blockFluidDeath, Жидкая смерть
Thaumcraft:blockCustomOre:0, Киноварь
Thaumcraft:blockCustomOre:1, Грозовая руда
Thaumcraft:blockCustomOre:2, Огненная руда
Thaumcraft:blockCustomOre:3, Ледяная руда
Thaumcraft:blockCustomOre:4, Руда земляного кристалла
Thaumcraft:blockCustomOre:5, Руда кристалла порядка
Thaumcraft:blockCustomOre:6, Энтропийная руда
Thaumcraft:blockCustomOre:7, Янтарная руда
Thaumcraft:blockMagicalLog:0, Древесина великого дерева
Thaumcraft:blockMagicalLog:1, Древесина серебряного дерева
Thaumcraft:blockMagicalLeaves:0, Листва великого дерева
Thaumcraft:blockMagicalLeaves:1, Листва серебряного дерева
Thaumcraft:blockCustomPlant:0, Саженец великого дерева
Thaumcraft:blockCustomPlant:1, Саженец серебрянного дерева
Thaumcraft:blockCustomPlant:2, Сребролист
Thaumcraft:blockCustomPlant:3, Огненный жемчуг
Thaumcraft:blockCustomPlant:4, Эфирный цветок
Thaumcraft:blockCustomPlant:5, Висомор
Thaumcraft:blockTaint:0, Заражённый камень
Thaumcraft:blockTaint:1, Заражённая земля
Thaumcraft:blockTaint:2, Блок плоти
Thaumcraft:blockTaintFibres:0, Заражённое волокно
Thaumcraft:blockTaintFibres:1, Заражённая трава
Thaumcraft:blockTaintFibres:2, Заражённое растение
Thaumcraft:blockTaintFibres:3, Спороцвет
Thaumcraft:blockCosmeticOpaque:0, Янтарный блок
Thaumcraft:blockCosmeticOpaque:1, Янтарный кирпич
Thaumcraft:blockCosmeticOpaque:2, Усиленное стекло
Thaumcraft:blockCosmeticSolid:0, Обсидиановый тотем
Thaumcraft:blockCosmeticSolid:1, Обсидиановая основа
Thaumcraft:blockCosmeticSolid:2, Камень путешественника
Thaumcraft:blockCosmeticSolid:3, Камень сдерживания
Thaumcraft:blockCosmeticSolid:4, Блок таум-металла
Thaumcraft:blockCosmeticSolid:5, Блок магического жира
Thaumcraft:blockCosmeticSolid:6, Магический камень
Thaumcraft:blockCosmeticSolid:7, Магический кирпич
Thaumcraft:blockCosmeticSolid:8, Заряженный обсидиановый тотем
Thaumcraft:blockCosmeticSolid:9, Голем-деактиватор
Thaumcraft:blockCosmeticSolid:11, Древний камень
Thaumcraft:blockCosmeticSolid:12, Древняя скала
Thaumcraft:blockCosmeticSolid:14, Заросший камень
Thaumcraft:blockCosmeticSolid:15, Древний пьедестал
Thaumcraft:blockCrystal:0, Грозовой кристальный кластер
Thaumcraft:blockCrystal:1, Огненный кристальный кластер
Thaumcraft:blockCrystal:2, Ледяной кристальный кластер
Thaumcraft:blockCrystal:3, Земляной кристальный кластер
Thaumcraft:blockCrystal:4, Кристальный кластер порядка
Thaumcraft:blockCrystal:5, Энтропийный кристальный кластер
Thaumcraft:blockCrystal:6, Смешанный кристальный кластер
Thaumcraft:blockTube:0, Труба для эссенции
Thaumcraft:blockTube:1, Клапан для эссенции
Thaumcraft:blockTube:2, Алхимическая центрифуга
Thaumcraft:blockTube:3, Фильтрующая труба для эссенции
Thaumcraft:blockTube:4, Буфер для эссенции
Thaumcraft:blockTube:5, Ограничивающая труба для эссенции
Thaumcraft:blockTube:6, Направляющая труба для эссенции
Thaumcraft:blockTube:7, Кристаллизатор эссенции
Thaumcraft:blockMetalDevice:0, Тигель
Thaumcraft:blockMetalDevice:1, Перегонный куб
Thaumcraft:blockMetalDevice:5, Железная решетка
Thaumcraft:blockMetalDevice:7, Магический светильник
Thaumcraft:blockMetalDevice:8, Светильник роста
Thaumcraft:blockMetalDevice:13, Светильник скрещивания
Thaumcraft:blockMetalDevice:9, Алхимическая конструкция
Thaumcraft:blockMetalDevice:3, Улучшенная алхимическая конструкция
Thaumcraft:blockMetalDevice:12, Мнемоническая матрица
Thaumcraft:blockMetalDevice:14, Вис-канал
Thaumcraft:blockMetalDevice:2, Вис-заряжатель
Thaumcraft:blockWoodenDevice:0, Магические меха
Thaumcraft:blockWoodenDevice:1, Магическое ухо
Thaumcraft:blockWoodenDevice:2, Магическая нажимная плита
Thaumcraft:blockWoodenDevice:4, Основа магического бура
Thaumcraft:blockWoodenDevice:5, Магический бур
Thaumcraft:blockWoodenDevice:6, Доски великого дерева
Thaumcraft:blockWoodenDevice:7, Доски серебряного дерева
Thaumcraft:blockWoodenDevice:8, Вымпел
Thaumcraft:blockWoodenDevice:8, Белый вымпел
Thaumcraft:blockWoodenDevice:8, Оранжевый вымпел
Thaumcraft:blockWoodenDevice:8, Пурпурный вымпел
Thaumcraft:blockWoodenDevice:8, Голубой вымпел
Thaumcraft:blockWoodenDevice:8, Жёлтый вымпел
Thaumcraft:blockWoodenDevice:8, Лаймовый вымпел
Thaumcraft:blockWoodenDevice:8, Розовый вымпел
Thaumcraft:blockWoodenDevice:8, Серый вымпел
Thaumcraft:blockWoodenDevice:8, Светло-серый вымпел
Thaumcraft:blockWoodenDevice:8, Бирюзовый вымпел
Thaumcraft:blockWoodenDevice:8, Фиолетовый вымпел
Thaumcraft:blockWoodenDevice:8, Синий вымпел
Thaumcraft:blockWoodenDevice:8, Коричневый вымпел
Thaumcraft:blockWoodenDevice:8, Зелёный вымпел
Thaumcraft:blockWoodenDevice:8, Красный вымпел
Thaumcraft:blockWoodenDevice:8, Чёрный вымпел
Thaumcraft:blockStoneDevice:0, Алхимическая печь
Thaumcraft:blockStoneDevice:1, Магический пьедестал
Thaumcraft:blockStoneDevice:2, Руническая матрица
Thaumcraft:blockStoneDevice:5, Пьедестал перезарядки
Thaumcraft:blockStoneDevice:8, Расщепитель аспектов
Thaumcraft:blockStoneDevice:9, Узел-стабилизатор
Thaumcraft:blockStoneDevice:10, Улучшенный узел-стабилизатор
Thaumcraft:blockStoneDevice:11, Узел-преобразователь
Thaumcraft:blockStoneDevice:12, Магическая ванна
Thaumcraft:blockStoneDevice:13, Набалдашниковый верстак
Thaumcraft:blockStoneDevice:14, Полотёр порчи
Thaumcraft:blockMirror:0, Магическое зеркало
Thaumcraft:blockMirror:6, Зеркало для эссенции
Thaumcraft:blockTable:0, Стол
Thaumcraft:blockTable:14, Стол расщепления
Thaumcraft:blockTable:15, Магический верстак
Thaumcraft:blockChestHungry, Голодный сундук
